finger_temp_C < 32.0

Middle finger, cooled with cold water and dried before measurement.
The Terumo thermometer(Terumo ET-P265WZ（テルモ电子体温计 P265）)displayed "L", indicating that the finger temperature was below the thermometer's measurable lower limit of 32.0°C. 
No-light/covered condition, approximately 60 seconds.

time_ms, red, ir
928705,119882,133454
928812,119858,133405
928920,119828,133354
929027,119920,133575
929135,119986,133779
929242,119920,133615
929350,119698,132946
929458,119726,133074
929565,119806,133370
929673,119803,133337
929780,119883,133449
929888,119915,133567
929996,119916,133669
930103,119747,133173
930211,119603,132808
930318,119685,133082
930426,119733,133264
930534,119692,133165
930641,119769,133327
930749,119913,133677
930857,120009,133818
930964,119651,132894
931072,119459,132757
931180,119737,133358
931288,119797,133371
931395,119616,133020
931503,119658,133186
931610,119735,133333
931718,119616,132931
931825,119447,132522
931933,119752,133213
932040,120008,133831
932148,119885,133540
932256,119998,133873
932363,120146,134201
932471,120012,134024
932579,119600,132952
932686,119705,133225
932794,119946,133861
932902,119808,133573
933010,119780,133483
933117,119877,133761
933225,119920,133979
933332,119619,133208
933440,119587,133043
933548,119851,133746
933656,119917,133968
933763,119853,133698
933871,119869,133768
933978,119949,134121
934086,119928,134035
934193,119649,133149
934301,119815,133585
934409,120055,134161
934516,119981,134010
934725,120576,135885
934832,120255,134924
934941,120036,134350
935048,120339,135271
935156,120445,135532
935264,120347,135238
935371,120336,135413
935479,120496,135874
935586,120554,135973
935694,120040,134617
935801,120228,135143
935909,120484,135801
936017,120362,135464
936124,120279,135336
936232,120440,135805
936340,120601,136159
936447,120548,135936
936555,120152,134921
936663,120346,135411
936770,120454,135753
936878,120276,135310
936985,120213,135094
937093,120297,135342
937201,120163,135099
937309,119638,133779
937416,119677,133891
937524,119963,134610
937631,119915,134477
937739,119931,134480
937846,120085,134802
937954,120070,134899
938062,119802,134190
938169,119786,134048
938277,120010,134730
938385,119999,134751
938492,119945,134571
938600,120012,134780
938707,120030,134984
938815,119798,134362
938922,119614,133862
939030,119852,134502
939137,119936,134747
939245,119908,134492
939353,119977,134609
939461,120018,134872
939568,119883,134506
939676,119684,133829
939783,119845,134318
939891,119954,134668
939998,119887,134402
940106,119863,134425
940214,119955,134917
940321,120063,135209
940429,119542,133766
940536,119655,134088
940644,119908,134711
940751,119774,134313
940859,119681,134312
940967,119901,134951
941074,120038,135266
941182,119533,133785
941291,119640,134017
941398,119976,134934
941506,119965,134863
941613,119938,134753
941721,119936,134777
941828,119902,134602
941936,119543,133668
942043,119367,133174
942151,119693,134037
942259,119822,134348
942367,119658,133985
942474,119874,134614
942582,120076,135129
942689,120025,134981
942797,119461,133441
942904,119584,133774
943012,119802,134371
943120,119666,134033
943227,119711,134186
943335,119920,134743
943443,120015,135021
943550,119901,134735
943658,119511,133643
943766,119742,134183
943873,119867,134598
943981,119836,134576
944088,119930,134834
944196,120040,135091
944405,120185,135718
944512,119682,134226
944620,119747,134488
944727,120045,135305
944835,120069,135295
944942,120019,135159
945050,120073,135394
945158,120175,135633
945265,119853,134717
945373,119659,134251
945481,119931,135003
945588,119977,135181
945696,119866,134846
945804,119965,135163
945911,119935,134911
946019,119962,135118
946126,119551,134129
946234,119758,134769
946342,119940,135390
946449,119716,134841
946557,119833,135013
946664,119994,135381
946772,120032,135562
946880,119662,134428
946987,119708,134559
947095,119953,135242
947202,119932,135202
947310,119921,135074
947418,119989,135315
947525,120116,135763
947632,119912,135148
947741,119726,134617
947848,119984,135432
947956,120034,135524
948063,119987,135317
948171,120044,135522
948279,120111,135764
948386,120013,135381
948494,119722,134621
948601,120008,135390
948709,120078,135576
948816,119964,135289
948924,120084,135577
949032,120110,135664
949139,119860,135110
949247,119484,134205
949354,119830,135047
949462,120017,135525
949570,119838,135050
949677,119771,134925
949785,119828,135134
949893,119932,135428
950000,119799,134919
950108,119975,135505
950216,120217,136160
950323,120169,136080
950431,120145,135950
950538,120151,136006
950646,120079,135818
950753,119780,134817
950861,119905,135174
950969,120018,135566
951076,119971,135364
951184,119978,135412
951292,120054,135661
951399,119959,135342
951507,119592,134305
951614,119790,134971
951722,120009,135448
951829,119867,135119
951936,119902,135226
952045,120047,135616
952153,119783,134835
952261,119496,134043
952368,119722,134715
952476,119833,135010
952583,119784,134788
952691,119858,135019
952798,119940,135192
952906,119600,134283
953014,119472,133959
953121,119770,134702
953229,119818,134908
953336,119753,134756
953444,119869,135149
953552,119990,135490
953659,119668,134566
953767,119329,133689
953874,119599,134441
954083,119801,135101
954191,119784,135003
954299,119724,134907
954406,119864,135284
954514,119950,135542
954621,119982,135650
954729,119837,135176
954837,119423,134054
954944,119696,134858
955052,119882,135343
955160,119844,135214
955267,119952,135596
955375,120039,135824
955483,120054,135816
955590,120039,135768
955698,119600,134563
955805,119702,134867
955913,119953,135701
956020,119995,135785
956128,119946,135676
956236,120054,135918
956344,120022,135789
956452,119945,135674
956560,119648,134819
956667,119723,134975
956775,119941,135612
956882,119899,135488
956990,119862,135370
957097,119955,135663
957205,120074,136041
957312,120119,136176
957420,119698,135118
957527,119874,135624
957635,120067,136150
957742,120045,136081
957850,120015,136053
957958,120096,136272
958065,120156,136386
958173,119969,135824
958281,119705,135072
958388,119963,135760
958496,120108,136211
958604,120125,136212
958711,120177,136272
958819,120194,136408
958926,120204,136429
959034,119949,135686
959142,119908,135594
959250,120027,135894
959357,120045,135973
959465,120063,135974
959572,120091,136104
959680,120100,136111
959788,119857,135416
959895,119647,134811
960003,119929,135493
960111,119986,135710
960218,119937,135610
960326,120044,135973
960434,120111,136157
