dark condition,0.301 lux.

fixed white paper target, covered/near-dark condition, 
approximate light intensity = 0.301 lux. The first 30 seconds were excluded from analysis because the raw readings were still stabilizing after the target was placed.

time_ms，red，ir
6774891,16549,22151
6774998,16522,22129
6775106,16508,22125
6775213,16512,22121
6775321,16512,22118
6775428,16514,22112
6775535,16506,22095
6775643,16506,22113
6775750,16500,22109
6775958,16533,22135
6776066,16534,22152
6776173,16526,22152
6776281,16521,22136
6776388,16519,22135
6776495,16515,22122
6776602,16513,22118
6776709,16504,22108
6776817,16529,22146
6776924,16554,22160
6777031,16546,22155
6777139,16525,22138
6777246,16523,22129
6777353,16517,22124
6777461,16522,22129
6777568,16514,22121
6777676,16512,22128
6777783,16532,22143
6777891,16551,22160
6777998,16550,22160
6778105,16519,22129
6778212,16492,22096
6778320,16486,22091
6778427,16492,22095
6778534,16448,22044
6778642,16401,21973
6778749,16379,21947
6778856,16372,21934
6778964,16361,21925
6779071,16356,21922
6779178,16363,21932
6779286,16353,21913
6779393,16352,21906
6779500,16343,21911
6779607,16338,21908
6779715,16322,21879
6779822,16315,21869
6779930,16339,21889
6780037,16354,21905
6780145,16372,21946
6780252,16402,21981
6780359,16424,21996
6780466,16380,21950
6780574,16382,21945
6780681,16379,21938
6780789,16373,21933
6780896,16368,21928
6781003,16368,21928
6781111,16368,21926
6781218,16383,21945
6781326,16393,21956
6781433,16387,21944
6781540,16386,21943
6781648,16395,21949
6781755,16392,21955
6781862,16385,21960
6781970,16402,21967
6782078,16420,21993
6782185,16445,22025
6782292,16457,22041
6782400,16454,22031
6782507,16472,22059
6782614,16491,22080
6782722,16486,22067
6782829,16479,22060
6782936,16467,22059
6783043,16473,22078
6783151,16467,22066
6783258,16467,22062
6783365,16458,22051
6783473,16442,22037
6783580,16425,22039
6783687,16384,21969
6783795,16365,21944
6783902,16378,21961
6784009,16376,21959
6784117,16382,21962
6784224,16389,21973
6784332,16407,21990
6784439,16402,21990
6784547,16407,22002
6784654,16413,22023
6784761,16436,22031
6784868,16451,22053
6784976,16452,22047
6785083,16454,22044
6785190,16449,22039
6785298,16437,22033
6785405,16417,22008
6785512,16373,21952
6785721,16254,21806
6785828,16242,21787
6785935,16237,21779
6786042,16239,21779
6786150,16247,21786
6786257,16244,21789
6786364,16258,21805
6786472,16280,21831
6786579,16269,21820
6786687,16286,21825
6786794,16278,21829
6786902,16280,21833
6787009,16293,21841
6787116,16296,21845
6787223,16300,21853
6787331,16304,21856
6787438,16309,21861
6787545,16307,21861
6787653,16318,21873
6787760,16314,21862
6787867,16314,21856
6787975,16314,21855
6788082,16308,21864
6788190,16303,21854
6788297,16313,21861
6788404,16330,21882
6788512,16344,21901
6788619,16345,21907
6788726,16356,21925
6788833,16361,21935
6788941,16371,21928
6789049,16356,21917
6789156,16339,21901
6789263,16331,21875
6789371,16313,21857
6789478,16290,21843
6789586,16291,21839
6789693,16297,21847
6789800,16307,21853
6789908,16310,21853
