finger temperature = 33.5°C，no-light/covered condition, 
approximately 60 seconds. The first 5–10 seconds may be excluded from analysis because the signal was still stabilizing after finger placement.

time_ms, red, ir
343041,122523,143273
343148,122484,143197
343357,122442,143522
343464,122499,143696
343572,122527,143768
343680,122501,143691
343787,122009,142354
343895,122231,143045
344003,122421,143566
344110,122406,143499
344218,122397,143514
344326,122478,143695
344433,122499,143801
344541,122540,143870
344648,122169,142889
344756,122107,142818
344863,122392,143632
344971,122409,143661
345079,122347,143550
345186,122418,143734
345294,122464,143858
345402,122485,143925
345509,122357,143664
345617,121996,142755
345724,122167,143282
345832,122327,143675
345940,122316,143634
346047,122339,143707
346155,122380,143817
346263,122405,143880
346370,122389,143809
346478,121987,142811
346585,122087,143189
346693,122268,143613
346800,122223,143476
346908,122202,143413
347015,122289,143671
347123,122326,143790
347231,122301,143708
347338,121783,142273
347446,121939,142735
347553,122152,143351
347661,122122,143205
347768,122123,143224
347876,122250,143570
347985,122337,143804
348092,122220,143494
348200,121568,141687
348308,121918,142715
348415,122179,143415
348523,122103,143188
348630,122116,143276
348738,122166,143565
348845,122233,143741
348953,121942,142938
349060,121348,141359
349168,121925,142837
349275,122131,143339
349383,122003,143002
349491,122122,143289
349598,122241,143590
349706,122293,143695
349814,121888,142542
349921,121649,141996
350029,122135,143334
350137,122280,143685
350244,122238,143534
350352,122358,143833
350460,122436,144055
350567,122467,144169
350675,121905,142593
350782,121967,142779
350890,122364,143779
350997,122394,143890
351105,122392,143919
351212,122469,144079
351320,122523,144207
351428,122565,144243
351535,122159,143108
351643,122169,143199
351750,122440,144000
351858,122456,143988
351965,122438,143939
352073,122539,144176
352181,122596,144346
352289,122595,144357
352396,122329,143751
352504,122285,143752
352612,122418,144089
352719,122424,144089
352928,122419,144191
353035,122489,144337
353143,122326,143948
353250,122215,143666
353358,122406,144244
353466,122430,144287
353573,122379,144129
353681,122425,144240
353788,122465,144353
353896,122378,144133
354004,122111,143508
354111,122358,144187
354219,122444,144392
