
data:  flash light + thin A4 white paeper,4030 lux.

time_ms,red,ir
7684227,159830,172182
7684335,159716,172096
7684443,159816,172185
7684551,159718,172045
7684659,159813,172159
7684767,159650,172059
7684874,159895,172167
7684982,159737,172076
7685090,159842,172164
7685198,159736,172088
7685306,159685,172079
7685413,159858,172149
7685521,159833,172078
7685629,159701,172177
7685737,159625,172137
7685845,159737,172098
7686054,160022,172345
7686161,159939,172210
7686270,160046,172274
7686377,159955,172190
7686485,160053,172285
7686593,159920,172248
7686701,159914,172204
7686809,159943,172200
7686916,159940,172235
7687024,159837,172193
7687132,159953,172170
7687240,159848,172208
7687348,159932,172164
7687456,159966,172291
7687563,159802,172202
7687671,159904,172230
7687779,159919,172213
7687887,159869,172203
7687994,159886,172264
7688102,159872,172194
7688210,159829,172191
7688318,159907,172189
7688426,159808,172087
7688534,159859,172181
7688642,159779,172082
7688750,159831,172190
7688858,159859,172149
7688966,159834,172170
7689073,159822,172163
7689181,159779,172109
7689289,159775,172122
7689397,159784,172116
7689505,159720,172010
7689612,159736,172057
7689720,159687,172069
7689828,159674,172060
7689936,159684,172079
7690044,159610,172014
7690152,159716,171973
7690259,159681,172015
7690368,159680,171983
7690476,159642,172006
7690583,159709,172038
7690691,159593,171927
7690799,159677,172003
7690907,159620,171971
7691015,159700,171997
7691123,159617,171958
7691231,159682,172006
7691338,159530,171963
7691446,159596,171900
7691554,159571,172004
7691662,159602,171983
7691769,159609,171983
7691877,159487,171960
7691985,159567,171862
7692093,159587,171942
7692201,159563,171959
7692310,159559,171874
7692417,159576,171913
7692525,159459,171813
7692633,159569,171959
7692741,159645,172016
7692849,159527,171953
7692957,159426,171854
7693064,159610,171971
7693172,159512,171888
7693280,159601,171964
7693388,159483,171878
7693496,159530,171943
7693603,159513,171890
7693711,159485,171930
7693819,159473,171905
7693927,159490,171911
7694035,159467,171893
7694142,159471,171816
7694250,159511,171940
7694359,159513,171831
7694466,159487,171874
7694574,159481,171876
7694682,159455,171914
7694790,159462,171871
7694898,159491,171936
7695005,159473,171779
7695113,159489,171945
7695221,159527,171874
7695329,159490,171873
7695437,159555,171929
7695646,159778,172043
7695754,159749,172040
7695861,159743,172043
7695969,159796,172081
7696077,159729,171973
7696185,159711,172052
7696293,159735,172041
7696401,159716,172017
7696509,159802,172079
7696617,159727,172041
7696725,159720,171974
7696833,159726,171996
7696940,159771,172095
7697048,159627,171977
7697156,159763,172105
7697264,159769,172011
7697372,159727,172013
7697479,159754,172033
7697588,159752,172082
7697695,159706,172018
7697803,159730,171969
7697911,159822,172033
7698019,159707,171963
7698127,159703,172044
7698234,159744,172020
7698342,159746,172007
7698450,159811,172060
7698558,159757,171933
7698666,159743,171985
7698774,159822,172044
7698881,159702,171948
7698989,159781,172064
7699097,159748,171930
7699205,159800,172015
7699313,159754,172034
7699421,159821,171975
7699528,159768,171984
7699636,159801,172035
7699744,159771,172069
7699852,159678,171929
7699960,159826,171973
7700067,159815,171994
7700175,159739,171935
7700283,159747,171968
7700391,159684,171896
7700499,159751,172004
7700606,159766,171927
7700714,159767,172004
7700822,159783,172024
7700930,159687,171921
7701038,159852,172009
7701146,159778,171965
7701254,159745,171963
7701361,159907,172037
7701469,159798,171935
7701577,159774,171973
7701685,159802,171982
7701793,159800,172069
7701900,159716,171935
7702008,159779,171995
7702116,159739,171878
7702224,159632,171835
7702332,159785,171964
7702439,159842,172035
7702547,159769,171939
7702656,159746,172054
7702764,159783,172043
7702871,159813,172048
7702979,159728,171939
7703087,159823,172011
7703195,159805,171970
7703303,159786,171986
7703410,159716,171968
7703518,159790,172032
7703626,159794,172101
7703734,159827,172052
7703842,159739,171999
7703950,159817,172045
7704057,159835,171974
7704165,159829,172086
7704273,159850,172084
7704381,159823,172126
7704488,159824,172039
7704597,159867,172068
7704705,159832,172065
7704812,159823,172037
7704920,159939,172121
7705028,159883,172043
7705136,159905,172144
7705345,160081,172299
7705453,160063,172259
7705560,160108,172259
7705668,160110,172240
7705776,160059,172240
7705883,160001,172231
7705991,160136,172307
7706099,160036,172259
7706207,160136,172234
7706315,160092,172268
7706423,160159,172228
7706530,160080,172225
7706638,160185,172292
7706746,160182,172324
7706854,160188,172374
7706962,160161,172236
7707070,160123,172268
7707178,160184,172243
7707285,160128,172223
7707393,160202,172281
7707501,160052,172252
7707609,160187,172285
7707717,160145,172286
7707825,160115,172290
7707932,160199,172378
7708040,160180,172360
7708148,160097,172328
7708256,160285,172484
7708363,160129,172398
7708471,160219,172377
7708579,160163,172477
7708687,160092,172378
7708796,160125,172389
7708904,160071,172387
7709011,160195,172430
7709119,160102,172332
7709227,160008,172280
7709335,160199,172307
7709442,160054,172265
7709550,160028,172336
7709658,160036,172308
7709766,160046,172283
7709874,160052,172308
7709981,160037,172351
7710089,160055,172215
7710197,160052,172195
7710305,160022,172227
7710413,159926,172190
7710520,160026,172188
7710628,159923,172184
7710736,160026,172223
7710844,159940,172164
7710952,159979,172183
7711060,160010,172230
7711167,159949,172223
7711275,159928,172162
7711383,159921,172194
7711491,159963,172217
7711599,159961,172215
7711707,159876,172165
7711814,160002,172197
7711922,159932,172193
7712030,159952,172174
7712138,160003,172235
7712246,160014,172244
7712353,159939,172254
7712461,160046,172220
7712569,159962,172216
7712677,160040,172238
7712784,159960,172279
7712893,159986,172209
7713000,160051,172250
7713108,159895,172207
7713216,159931,172222
7713324,159935,172228
7713432,159890,172214
7713540,160039,172188
7713648,159874,172257
7713755,159886,172138
7713863,159849,172104
7713971,159662,171735
