Room light, 29.25 flux.

Under the room-light white-paper condition, the MAX30102 produced low but highly stable raw red and IR readings. 
The small standard deviations and narrow ranges suggest that the fixed non-biological reflective target produced a stable optical baseline under room light.

time_ms，red，ir
7125317,5381,6775
7125424,5386,6777
7125531,5378,6773
7125638,5384,6781
7125745,5383,6785
7125851,5381,6772
7125958,5397,6767
7126065,5381,6774
7126172,5394,6778
7126279,5392,6780
7126385,5380,6765
7126492,5386,6774
7126599,5374,6779
7126706,5387,6770
7126813,5382,6778
7126920,5370,6773
7127027,5386,6772
7127133,5371,6766
7127240,5385,6772
7127347,5375,6777
7127454,5373,6770
7127561,5382,6779
7127667,5369,6777
7127774,5380,6779
7127882,5379,6782
7127989,5373,6771
7128096,5384,6784
7128202,5376,6781
7128309,5381,6780
7128416,5377,6776
7128523,5381,6777
7128630,5386,6781
7128737,5373,6777
7128844,5407,6782
7128951,5379,6783
7129057,5381,6772
7129164,5388,6789
7129271,5376,6771
7129378,5389,6777
7129485,5386,6777
7129591,5383,6771
7129699,5384,6774
7129805,5372,6770
7129912,5384,6780
7130019,5376,6771
7130126,5382,6767
7130232,5381,6778
7130340,5376,6760
7130447,5388,6774
7130554,5378,6775
7130660,5389,6768
7130767,5389,6771
7130874,5375,6772
7130981,5385,6771
7131088,5373,6780
7131194,5383,6775
7131301,5381,6778
7131408,5380,6767
7131515,5372,6781
7131622,5377,6773
7131729,5372,6777
7131835,5377,6781
7131942,5374,6778
7132049,5385,6781
7132156,5372,6777
7132263,5382,6781
7132369,5377,6782
7132476,5372,6773
7132583,5386,6785
7132690,5381,6779
7132796,5384,6779
7132903,5376,6800
7133010,5384,6776
7133117,5383,6774
7133224,5370,6771
7133330,5392,6778
7133437,5378,6778
7133544,5383,6768
7133651,5380,6776
7133758,5381,6753
7133864,5386,6770
7133971,5384,6770
7134078,5382,6763
7134185,5382,6768
7134292,5380,6760
7134399,5385,6774
7134506,5373,6772
7134612,5388,6775
7134820,5382,6777
7134927,5379,6760
7135034,5385,6763
7135141,5381,6765
7135248,5387,6769
7135356,5384,6768
7135462,5374,6759
7135569,5395,6779
7135676,5374,6770
7135783,5378,6773
7135889,5378,6771
7135996,5379,6761
7136103,5388,6778
7136210,5372,6773
7136317,5381,6766
7136424,5383,6777
7136531,5370,6767
7136637,5383,6779
7136744,5370,6768
7136851,5378,6774
7136958,5375,6775
7137065,5371,6768
7137171,5385,6779
7137278,5366,6773
7137385,5378,6774
7137492,5370,6777
7137599,5386,6772
7137705,5378,6781
7137812,5370,6769
7137919,5379,6770
7138026,5372,6778
7138133,5377,6768
7138240,5383,6779
7138347,5378,6768
7138454,5371,6775
7138561,5376,6768
7138667,5381,6768
7138774,5386,6770
7138881,5374,6773
7138988,5390,6768
7139094,5380,6768
7139201,5384,6773
7139308,5380,6777
7139415,5378,6763
7139522,5390,6769
7139629,5381,6765
7139735,5387,6761
7139842,5390,6768
7139949,5376,6755
7140056,5380,6769
7140163,5370,6766
7140270,5380,6768
7140377,5379,6770
7140484,5377,6762
7140590,5386,6766
7140697,5365,6767
7140804,5377,6774
7140911,5377,6771
7141018,5376,6765
7141125,5379,6777
7141232,5367,6773
7141338,5371,6768
7141445,5372,6774
7141552,5381,6764
7141659,5375,6779
7141766,5366,6772
7141873,5381,6772
7141979,5375,6777
7142086,5373,6765
7142193,5384,6783
7142300,5374,6761
7142407,5386,6774
7142514,5376,6776
7142620,5374,6762
7142727,5385,6776
7142834,5382,6763
7142941,5391,6772
7143048,5385,6770
7143155,5379,6764
7143262,5381,6766
7143369,5380,6763
7143475,5382,6772
7143582,5379,6765
7143689,5387,6766
7143796,5382,6763
7143903,5377,6758
7144010,5384,6773
7144116,5373,6763
7144223,5382,6766
7144330,5379,6767
7144437,5369,6764
7144544,5386,6770
7144752,5374,6767
7144858,5378,6759
7144965,5376,6771
7145072,5369,6758
7145179,5377,6778
7145286,5364,6769
7145393,5370,6766
7145500,5376,6770
7145607,5369,6765
7145714,5382,6777
7145820,5363,6773
7145927,5373,6770
7146034,5367,6777
7146141,5367,6767
7146248,5377,6778
7146355,5369,6764
7146461,5379,6774
7146568,5373,6766
7146675,5376,6762
7146782,5384,6774
7146888,5375,6756
7146995,5386,6774
7147102,5365,6778
7147209,5378,6768
7147316,5381,6776
7147423,5368,6765
7147529,5380,6766
7147636,5373,6786
7147743,5373,6767
7147850,5379,6763
7147957,5371,6762
7148064,5385,6770
7148170,5376,6753
7148277,5381,6765
7148384,5379,6761
7148491,5371,6762
7148598,5387,6766
7148705,5371,6767
7148812,5378,6768
7148918,5377,6767
7149025,5376,6766
7149132,5379,6764
7149239,5368,6756
7149346,5383,6708
7149453,5376,6774
7149559,5363,6758
7149666,5379,6768
7149773,5364,6759
7149880,5374,6767
7149987,5388,6793
7150093,5368,6761
7150200,5380,6771
7150307,5360,6768
7150414,5379,6767
7150521,5366,6787
7150628,5364,6769
7150734,5379,6773
7150841,5368,6768
7150948,5379,6771
7151055,5371,6773
7151162,5379,6773
7151268,5373,6775
7151375,5368,6769
7151482,5383,6770
7151589,5378,6769
7151696,5377,6767
7151803,5396,6770
7151910,5371,6793
7152017,5362,6770
7152124,5381,6768
7152231,5368,6760
7152337,5383,6771
7152444,5376,6761
7152551,5382,6767
7152658,5374,6771
7152765,5372,6767
7152872,5375,6757
7152979,5376,6753
7153086,5380,6742
7153193,5371,6755
7153300,5372,6765
7153406,5377,6767
7153513,5373,6754
7153620,5381,6776
7153727,5362,6764
7153834,5371,6766
7153940,5369,6754
7154047,5370,6765
7154154,5379,6773
7154261,5364,6764
7154368,5375,6770
7154576,5375,6762
7154683,5373,6759
7154789,5369,6768
7154896,5364,6757
7155003,5371,6767
7155110,5366,6764
7155217,5365,6763
7155324,5371,6771
7155431,5362,6765
7155538,5374,6766
7155645,5367,6770
7155752,5373,6765
7155858,5367,6773
7155965,5365,6760
7156072,5383,6769
7156179,5366,6767
7156286,5366,6767
7156392,5376,6771
7156500,5354,6760
7156606,5375,6771
7156713,5374,6765
7156820,5375,6767
7156927,5378,6780
7157034,5369,6761
7157140,5380,6766
7157247,5367,6762
7157354,5367,6753
7157461,5371,6769
7157568,5370,6760
7157675,5383,6766
7157782,5378,6756
7157889,5382,6761
7157996,5377,6768
7158103,5370,6755
7158210,5379,6757
7158317,5375,6757
7158424,5382,6756
7158531,5376,6763
7158637,5367,6747
7158744,5379,6760
7158851,5374,6760
7158958,5369,6762
7159065,5366,6762
7159171,5367,6760
7159278,5367,6767
7159385,5363,6752
7159492,5376,6768
7159599,5361,6769
7159706,5366,6758
7159812,5377,6772
7159919,5362,6763
7160026,5372,6767
7160133,5367,6774
7160240,5376,6756
7160347,5375,6775
7160454,5363,6762
7160561,5365,6766
7160668,5363,6764
7160775,5363,6765
7160882,5382,6774
7160988,5362,6769
7161095,5376,6762
7161202,5369,6777
7161309,5377,6761
7161416,5379,6778
7161523,5367,6763
7161630,5380,6764
7161736,5375,6758
7161843,5379,6762
7161950,5377,6768
7162057,5380,6763
7162164,5382,6769
7162270,5376,6762
7162377,5373,6752
7162484,5373,6763
7162591,5368,6749
7162699,5379,6764
7162805,5377,6760
7162912,5373,6761
7163019,5378,6760
7163126,5367,6753
7163233,5378,6760
7163339,5368,6756
7163446,5379,6760
7163553,5379,6760
7163660,5366,6759
7163767,5372,6771
7163873,5360,6761
7163980,5370,6760
7164087,5373,6764
7164194,5367,6758
7164301,5373,6769
7164509,5364,6761
7164616,5378,6754
7164723,5374,6769
7164830,5363,6754
7164936,5358,6757
7165043,5365,6758
7165150,5379,6757
7165258,5370,6759
