T3_warm_38p0C_no_light_trial1.csv: middle finger, warmed with warm water and dried before measurement. 
Initial finger temperature measured by the Terumo thermometer was approximately 40.0°C. No-light/covered condition, approximately 60 seconds.
time_ms, red, ir
2161727,127627,136940
2161835,127486,136565
2161943,127720,137300
2162051,127593,137079
2162158,127087,135829
2162266,127015,135668
2162374,127071,135854
2162482,127006,135766
2162590,126386,134226
2162698,126268,133979
2162806,126433,134400
2162914,126435,134422
2163021,126463,134490
2163130,127234,136387
2163237,127705,137543
2163345,127788,137785
2163454,126906,135566
2163561,126574,134830
2163669,126783,135437
2163777,126671,135185
2163885,126583,135068
2163993,127060,136210
2164101,127307,136936
2164209,127290,136965
2164317,126742,135367
2164425,126741,135201
2164533,127136,136266
2164641,127064,136234
2164748,126627,135498
2164856,126825,136132
2164964,127190,136958
2165073,127218,136879
2165181,126651,135392
2165289,126951,136646
2165397,127158,137179
2165505,127049,136765
2165613,126957,136481
2165721,127134,136868
2165829,127517,137820
2165936,127489,137614
2166044,127295,137038
2166152,127524,137764
2166260,127399,137477
2166368,127121,136690
2166476,127288,137101
2166584,127522,137782
2166692,127630,138009
2166800,127358,137152
2166908,127178,136741
2167016,127225,137021
2167124,127318,137267
2167232,127117,136813
2167340,127078,136736
2167448,127311,137348
2167556,126998,136525
2167664,126564,135495
2167772,126851,136306
2167880,126904,136529
2167988,126911,136561
2168096,127111,137149
2168204,127205,137402
2168312,126964,136832
2168420,126356,135237
2168528,126695,135997
2168636,127162,137196
2168743,127092,137064
2168851,127120,137191
2168959,127195,137388
2169068,127214,137447
2169176,126702,136007
2169284,126845,136313
2169493,126909,136697
2169601,127004,137025
2169708,127029,137093
2169816,126284,135133
2169924,126498,135630
2170032,126964,136872
2170140,126942,136823
2170248,126753,136377
2170356,126754,136417
2170464,126965,137038
2170572,126770,136514
2170680,126188,135009
2170788,126508,135803
2170895,126764,136460
2171003,126654,136226
2171111,126927,136997
2171219,127109,137497
2171327,127117,137543
2171435,126882,136882
2171543,126393,135603
2171651,126468,135902
2171759,126494,135983
2171867,126795,136730
2171975,127021,137316
2172083,127025,137379
2172191,127001,137351
2172299,126610,136268
2172407,126236,135312
2172515,126614,136327
2172623,126960,137218
2172731,126995,137313
2172839,127161,137788
2172947,127092,137722
2173055,126939,137369
2173163,126098,135227
2173271,126146,135365
2173379,126679,136803
2173487,126505,136273
2173595,126510,136276
2173703,126957,137434
2173811,127128,137913
2173919,126824,137160
2174027,126120,135382
2174135,126066,135400
2174243,126372,136331
2174351,126220,135989
2174459,125988,135440
2174567,125931,135370
2174674,125641,134850
2174783,125476,134354
2174890,125370,133964
2174998,125884,135180
2175107,126240,136071
2175215,126218,136035
2175323,126200,136007
2175431,126503,136835
2175539,126729,137402
2175647,126156,135869
2175755,125728,134806
2175863,126067,135676
2175971,126142,135850
2176079,125972,135457
2176187,126190,135966
2176294,126521,136808
2176402,126595,136995
2176510,125947,135294
2176618,126117,135746
2176726,126533,136863
2176834,126318,136244
2176942,126372,136391
2177050,126670,137223
2177158,126705,137403
2177266,126588,137104
2177374,126035,135614
2177484,126330,136501
2177592,126737,137570
2177700,126771,137671
2177807,126815,137788
2177915,126971,138208
2178023,127121,138516
2178131,126740,137473
2178239,126706,137459
2178347,127126,138386
2178455,127164,138475
2178563,127067,138211
2178671,127070,138176
2178779,127109,138296
2178887,126858,137532
2179096,127449,138594
2179204,127364,138468
2179312,127306,138390
2179420,126686,136690
2179528,126143,135363
2179636,126319,135891
2179744,126403,136099
2179851,126418,136186
2179959,126448,136331
2180067,126456,136403
2180175,126296,136077
2180283,125735,134626
2180391,125750,134691
2180499,126135,135724
2180607,126099,135620
2180715,125958,135291
2180823,126110,135699
2180931,126254,136132
2181039,126365,136447
2181147,125946,135295
2181255,125648,134530
2181363,126087,135640
2181471,126162,135868
2181579,125914,135246
2181687,126055,135575
2181795,126129,135798
2181903,126158,135910
2182011,126111,135816
2182119,125497,134326
2182227,125384,134077
2182335,125584,134583
2182443,125522,134421
2182551,125411,134211
